"age","population","agecat","city"
"Population Under 5 years",15502,"under65","batr"
"Population 5 to 9 years",15609,"under65","batr"
"Population 10 to 14 years",15248,"under65","batr"
"Population 15 to 19 years",21954,"under65","batr"
"Population 20 to 24 years",27230,"under65","batr"
"Population 25 to 34 years",31719,"under65","batr"
"Population 35 to 44 years",30343,"under65","batr"
"Population 45 to 54 years",27166,"under65","batr"
"Population 55 to 59 years",9495,"under65","batr"
"Population 60 to 64 years",7490,"under65","batr"
"Population 65 to 74 years",13312,"65to74","batr"
"Population 75 to 84 years",9611,"75p","batr"
"Population 85 years and over",3139,"75p","batr"
"Population under 5 years old",285976,"under65","la"
"Population 5 to 9 years old",297837,"under65","la"
"Population 10 to 14 years old",255604,"under65","la"
"Population 15 to 19 years old",251632,"under65","la"
"Population 20 to 24 years old",299906,"under65","la"
"Population 25 to 34 years old",674098,"under65","la"
"Population 35 to 44 years old",584036,"under65","la"
"Population 45 to 54 years old",428974,"under65","la"
"Population 55 to 59 years old",143965,"under65","la"
"Population 60 to 64 years old",115663,"under65","la"
"Population 65 to 74 years old",18711,"65to74","la"
"Population 75 to 84 years old",125829,"75p","la"
"Population 85 years and over",44189,"75p","la"
"Population under 5 years old",35201,"under65","tucs"
"Population 5 to 9 years old",34189,"under65","tucs"
"Population 10 to 14 years old",31939,"under65","tucs"
"Population 15 to 19 years old",38170,"under65","tucs"
"Population 20 to 24 years old",47428,"under65","tucs"
"Population 25 to 34 years old",76394,"under65","tucs"
"Population 35 to 44 years old",72289,"under65","tucs"
"Population 45 to 54 years old",57608,"under65","tucs"
"Population 55 to 59 years old",19597,"under65","tucs"
"Population 60 to 64 years old",16056,"under65","tucs"
"Population 65 to 74 years old",29117,"65to74","tucs"
"Population 75 to 84 years old",21394,"75p","tucs"
"Population 85 years and older",7317,"75p","tucs"
"Population under 5 years old",37769,"under65","denv"
"Population 5 to 9 years old",34473,"under65","denv"
"Population 10 to 14 years old",31315,"under65","denv"
"Population 15 to 19 years old",32259,"under65","denv"
"Population 20 to 24 years old",45534,"under65","denv"
"Population 25 to 34 years old",113676,"under65","denv"
"Population 35 to 44 years old",86420,"under65","denv"
"Population 45 to 54 years old",71000,"under65","denv"
"Population 55 to 59 years old",22573,"under65","denv"
"Population 60 to 64 years old",17191,"under65","denv"
"Population 65 to 74 years old",30643,"65to74","denv"
"Population 75 to 84 years old",23369,"75p","denv"
"Population 85 years and over",8414,"75p","denv"
"Population under 5 years old",37769,"under65","loui"
"Population 5 to 9 years old",34473,"under65","loui"
"Population 10 to 14 years old",31315,"under65","loui"
"Population 15 to 19 years old",32259,"under65","loui"
"Population 20 to 24 years old",45534,"under65","loui"
"Population 25 to 34 years old",113676,"under65","loui"
"Population 35 to 44 years old",86420,"under65","loui"
"Population 45 to 54 years old",71000,"under65","loui"
"Population 55 to 59 years old",22573,"under65","loui"
"Population 60 to 64 years old",17191,"under65","loui"
"Population 65 to 74 years old",30643,"65to74","loui"
"Population 75 to 84 years old",23369,"75p","loui"
"Population 85 years and over",8414,"75p","loui"
